match,match_type,crossed,b_cost,v_cost,set,rank
0,exact,with_equal_cost,24,24,baseline,1
1,exact,with_different_cost,25,24,baseline,4
2,exact,with_equal_cost,31,31,baseline,9
3,exact,with_different_cost,32,31,baseline,11
4,exact,not,34,34,baseline,12
5,exact,with_equal_cost,35,35,baseline,14
6,exact,with_different_cost,35,34,baseline,15
7,exact,with_equal_cost,36,36,baseline,16
8,exact,with_equal_cost,36,36,baseline,17
0,exact,with_equal_cost,24,24,verde,1
1,exact,with_different_cost,25,24,verde,0
2,exact,with_equal_cost,31,31,verde,3
3,exact,with_different_cost,32,31,verde,2
4,exact,not,34,34,verde,4
5,exact,with_equal_cost,35,35,verde,7
6,exact,with_different_cost,35,34,verde,5
7,exact,with_equal_cost,36,36,verde,18
8,exact,with_equal_cost,36,36,verde,11
