"Geography code","LA code","LA name","Region code","Region name","Net Total Expenditure (x1000)","Gross Total Expenditure (x1000)","Gross Current Expenditure (x1000)","Support provided to carers during the year","Social care-related quality of life score (All)","Social care-related quality of life score (Male)","Social care-related quality of life score (Female)","age_group","Number of requests for support received from new clients","New clients with an episode of ST-Max care and a known sequel","Long Term Support during the year","Social care-related quality of life score"
"E08000035",212,"Leeds","E12000003","Yorkshire and The Humber",251400,281996,271600,4920,19.6,20.0,19.2,"65 and over",21025,2495.0,6985.0,18.9
"E08000036",213,"Wakefield","E12000003","Yorkshire and The Humber",86778,105760,104267,1910,19.4,19.9,19.0,"18 to 64",6170,115.0,2240.0,19.5
"E08000036",213,"Wakefield","E12000003","Yorkshire and The Humber",86778,105760,104267,1910,19.4,19.9,19.0,"65 and over",16620,735.0,3305.0,19.2
"E06000011",214,"East Riding of Yorkshire","E12000003","Yorkshire and The Humber",94054,126535,126543,3475,19.5,19.8,19.2,"18 to 64",4990,60.0,1860.0,19.8
"E06000011",214,"East Riding of Yorkshire","E12000003","Yorkshire and The Humber",94054,126535,126543,3475,19.5,19.8,19.2,"65 and over",16385,820.0,5040.0,19.3
"E06000010",215,"Kingston upon Hull, City of","E12000003","Yorkshire and The Humber",75148,94907,93795,1275,19.6,19.8,19.5,"18 to 64",3360,145.0,1515.0,20.2
"E06000010",215,"Kingston upon Hull, City of","E12000003","Yorkshire and The Humber",75148,94907,93795,1275,19.6,19.8,19.5,"65 and over",7230,750.0,3080.0,19.2
"E06000012",216,"North East Lincolnshire","E12000003","Yorkshire and The Humber",44433,53713,53713,870,19.3,19.8,18.9,"18 to 64",7675,25.0,830.0,20.7
"E06000012",216,"North East Lincolnshire","E12000003","Yorkshire and The Humber",44433,53713,53713,870,19.3,19.8,18.9,"65 and over",5275,145.0,1790.0,18.5
"E06000013",217,"North Lincolnshire","E12000003","Yorkshire and The Humber",42674,51437,49785,1160,19.4,19.5,19.4,"18 to 64",3420,270.0,790.0,20.0
"E06000013",217,"North Lincolnshire","E12000003","Yorkshire and The Humber",42674,51437,49785,1160,19.4,19.5,19.4,"65 and over",8315,1080.0,1430.0,19.0
"E10000023",218,"North Yorkshire","E12000003","Yorkshire and The Humber",181549,220890,217093,3485,19.9,20.0,19.8,"18 to 64",6990,330.0,4280.0,20.2
"E10000023",218,"North Yorkshire","E12000003","Yorkshire and The Humber",181549,220890,217093,3485,19.9,20.0,19.8,"65 and over",19055,2650.0,5685.0,19.7
"E06000014",219,"York","E12000003","Yorkshire and The Humber",55408,68475,68475,1105,18.8,19.2,18.6,"18 to 64",1130,45.0,910.0,19.8
"E06000014",219,"York","E12000003","Yorkshire and The Humber",55408,68475,68475,1105,18.8,19.2,18.6,"65 and over",4425,345.0,1645.0,18.1
"E08000001",304,"Bolton","E12000002","North West",81023,97350,97256,1575,18.6,19.0,18.3,"18 to 64",3275,110.0,2225.0,18.5
"E08000001",304,"Bolton","E12000002","North West",81023,97350,97256,1575,18.6,19.0,18.3,"65 and over",8170,1370.0,3820.0,18.7
