cost,violations,props,vl,vl_spec_file,matches,set,rank,has_match
24,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_stdev': {'num': 1, 'weight': 5, 'cost_contrib': 5}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,stdev).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'aggregate': 'stdev', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m10_c024_vl.json,9.0,baseline,10,True
24,"{'c_d_tick': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_column': {'num': 1, 'weight': 9, 'cost_contrib': 9}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_column': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e0,column).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'type(v_v,e1,quantitative).', 'mark(v_v,tick).']","{'mark': 'tick', 'encoding': {'column': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m11_c024_vl.json,13.0,baseline,11,True
24,"{'c_d_tick': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_row': {'num': 1, 'weight': 8, 'cost_contrib': 8}, 'only_x': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'y_row': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'channel(v_v,e1,y).', 'channel(v_v,e0,row).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'type(v_v,e1,quantitative).', 'mark(v_v,tick).']","{'mark': 'tick', 'encoding': {'row': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m12_c024_vl.json,11.0,baseline,12,True
25,"{'c_d_no_overlap_point': {'num': 1, 'weight': 10, 'cost_contrib': 10}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'type(v_v,e1,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m13_c025_vl.json,12.0,baseline,13,True
25,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_min': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,min).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'aggregate': 'min', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m14_c025_vl.json,15.0,baseline,14,True
25,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_max': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,max).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'aggregate': 'max', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m15_c025_vl.json,14.0,baseline,15,True
26,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_stdev': {'num': 1, 'weight': 5, 'cost_contrib': 5}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,stdev).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'aggregate': 'stdev', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m16_c026_vl.json,16.0,baseline,16,True
27,"{'c_d_no_overlap_point': {'num': 1, 'weight': 10, 'cost_contrib': 10}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'type(v_v,e1,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m17_c027_vl.json,17.0,baseline,17,True
29,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_count': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'bin': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'bin_cardinality': {'num': 1, 'weight': 5, 'cost_contrib': 5}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'ordered_x': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'zero_bin': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,1).', 'type(v_v,e0,nominal).', 'bin(v_v,e1,10).', 'aggregate(v_v,1,count).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'channel(v_v,1,size).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'zero(v_v,1).', 'type(v_v,e1,quantitative).', 'type(v_v,1,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'size': {'type': 'quantitative', 'aggregate': 'count', 'scale': {'zero': True}}, 'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'field': 'zero_hr_contract_all_pct', 'bin': True, 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m18_c029_vl.json,18.0,baseline,18,True
29,"{'aggregate': {'num': 2, 'weight': 4, 'cost_contrib': 8}, 'aggregate_count': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'aggregate_mean': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'c_c_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,mean).', 'aggregate(v_v,1,count).', 'channel(v_v,1,x).', 'channel(v_v,e1,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'zero(v_v,1).', 'type(v_v,e1,quantitative).', 'type(v_v,1,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'x': {'type': 'quantitative', 'aggregate': 'count', 'scale': {'zero': True}}, 'color': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'aggregate': 'mean', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a2_baseline_m19_c029_vl.json,,baseline,19,False
