match,match_type,crossed,b_cost,v_cost,set,rank
0,exact,not,12,12,baseline,0
1,exact,with_equal_cost,14,14,baseline,2
2,exact,with_equal_cost,14,14,baseline,3
3,exact,with_equal_cost,15,15,baseline,6
4,exact,with_equal_cost,15,15,baseline,7
5,exact,with_equal_cost,15,15,baseline,8
6,exact,with_equal_cost,15,15,baseline,9
7,exact,with_equal_cost,16,16,baseline,10
8,exact,with_equal_cost,16,16,baseline,11
9,exact,with_equal_cost,16,16,baseline,12
10,exact,with_equal_cost,16,16,baseline,13
11,exact,with_different_cost,16,15,baseline,14
12,exact,not,17,17,baseline,18
0,exact,not,12,12,verde,0
1,exact,with_equal_cost,14,14,verde,2
2,exact,with_equal_cost,14,14,verde,1
3,exact,with_equal_cost,15,15,verde,5
4,exact,with_equal_cost,15,15,verde,6
5,exact,with_equal_cost,15,15,verde,7
6,exact,with_equal_cost,15,15,verde,3
7,exact,with_equal_cost,16,16,verde,9
8,exact,with_equal_cost,16,16,verde,11
9,exact,with_equal_cost,16,16,verde,12
10,exact,with_equal_cost,16,16,verde,13
11,exact,with_different_cost,16,15,verde,4
12,exact,not,17,17,verde,17
