match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,not,14,14,baseline,0
1,verde_addition,not,16,16,baseline,1
2,verde_addition,not,17,17,baseline,2
3,verde_addition,not,18,17,baseline,3
4,verde_addition,with_equal_cost,19,19,baseline,4
5,verde_addition,with_equal_cost,20,20,baseline,5
6,verde_addition,with_different_cost,20,19,baseline,6
7,verde_addition,not,21,20,baseline,7
8,verde_addition,not,21,21,baseline,8
9,verde_addition,with_equal_cost,22,22,baseline,9
10,verde_addition,with_equal_cost,22,22,baseline,10
11,verde_addition,with_equal_cost,22,22,baseline,11
12,verde_addition,with_equal_cost,23,23,baseline,12
13,verde_addition,with_different_cost,23,22,baseline,13
14,verde_addition,with_equal_cost,23,23,baseline,14
15,verde_addition,with_equal_cost,24,24,baseline,15
16,verde_addition,with_different_cost,24,23,baseline,16
17,verde_addition,with_equal_cost,24,24,baseline,17
18,verde_addition,with_equal_cost,24,24,baseline,18
19,verde_addition,with_different_cost,25,24,baseline,19
20,verde_addition,with_different_cost,25,24,baseline,20
21,verde_addition,with_different_cost,26,25,baseline,21
22,verde_addition,with_equal_cost,26,26,baseline,22
23,verde_addition,with_equal_cost,26,26,baseline,23
24,verde_addition,with_equal_cost,26,26,baseline,24
25,verde_addition,with_equal_cost,26,26,baseline,25
26,verde_addition,with_different_cost,26,25,baseline,26
27,verde_addition,with_different_cost,26,25,baseline,27
28,verde_addition,with_equal_cost,27,27,baseline,28
29,verde_addition,with_equal_cost,27,27,baseline,29
30,verde_addition,with_equal_cost,27,27,baseline,30
31,verde_addition,with_equal_cost,27,27,baseline,31
32,verde_addition,with_different_cost,27,28,baseline,31
33,verde_addition,with_equal_cost,27,27,baseline,32
34,verde_addition,with_equal_cost,27,27,baseline,33
35,verde_addition,with_equal_cost,27,27,baseline,34
36,verde_addition,with_different_cost,27,26,baseline,35
37,verde_addition,with_different_cost,28,27,baseline,36
38,verde_addition,with_different_cost,28,27,baseline,37
39,verde_addition,with_equal_cost,28,28,baseline,37
40,verde_addition,with_equal_cost,28,28,baseline,38
41,verde_addition,with_equal_cost,28,28,baseline,39
42,verde_addition,with_equal_cost,28,28,baseline,40
43,verde_addition,with_equal_cost,28,28,baseline,41
44,verde_addition,with_equal_cost,28,28,baseline,42
45,verde_addition,with_equal_cost,29,29,baseline,43
46,verde_addition,with_equal_cost,29,29,baseline,44
47,verde_addition,with_equal_cost,29,29,baseline,45
48,verde_addition,with_different_cost,29,28,baseline,46
49,verde_addition,with_different_cost,29,28,baseline,48
0,verde_addition,not,14,14,verde,0
1,verde_addition,not,16,16,verde,1
2,verde_addition,not,17,17,verde,2
3,verde_addition,not,18,17,verde,3
4,verde_addition,with_equal_cost,19,19,verde,5
5,verde_addition,with_equal_cost,20,20,verde,6
6,verde_addition,with_different_cost,20,19,verde,4
7,verde_addition,not,21,20,verde,7
8,verde_addition,not,21,21,verde,8
9,verde_addition,with_equal_cost,22,22,verde,12
10,verde_addition,with_equal_cost,22,22,verde,10
11,verde_addition,with_equal_cost,22,22,verde,11
12,verde_addition,with_equal_cost,23,23,verde,15
13,verde_addition,with_different_cost,23,22,verde,9
14,verde_addition,with_equal_cost,23,23,verde,13
15,verde_addition,with_equal_cost,24,24,verde,18
16,verde_addition,with_different_cost,24,23,verde,14
17,verde_addition,with_equal_cost,24,24,verde,19
18,verde_addition,with_equal_cost,24,24,verde,20
19,verde_addition,with_different_cost,25,24,verde,16
20,verde_addition,with_different_cost,25,24,verde,17
21,verde_addition,with_different_cost,26,25,verde,23
22,verde_addition,with_equal_cost,26,26,verde,25
23,verde_addition,with_equal_cost,26,26,verde,26
24,verde_addition,with_equal_cost,26,26,verde,27
25,verde_addition,with_equal_cost,26,26,verde,28
26,verde_addition,with_different_cost,26,25,verde,21
27,verde_addition,with_different_cost,26,25,verde,22
28,verde_addition,with_equal_cost,27,27,verde,33
29,verde_addition,with_equal_cost,27,27,verde,32
30,verde_addition,with_equal_cost,27,27,verde,31
31,verde_addition,with_equal_cost,27,27,verde,30
32,verde_addition,with_different_cost,27,28,verde,38
33,verde_addition,with_equal_cost,27,27,verde,35
34,verde_addition,with_equal_cost,27,27,verde,36
35,verde_addition,with_equal_cost,27,27,verde,34
36,verde_addition,with_different_cost,27,26,verde,24
37,verde_addition,with_different_cost,28,27,verde,29
38,verde_addition,with_different_cost,28,27,verde,30
39,verde_addition,with_equal_cost,28,28,verde,38
40,verde_addition,with_equal_cost,28,28,verde,40
41,verde_addition,with_equal_cost,28,28,verde,39
42,verde_addition,with_equal_cost,28,28,verde,42
43,verde_addition,with_equal_cost,28,28,verde,41
44,verde_addition,with_equal_cost,28,28,verde,43
45,verde_addition,with_equal_cost,29,29,verde,45
46,verde_addition,with_equal_cost,29,29,verde,47
47,verde_addition,with_equal_cost,29,29,verde,46
48,verde_addition,with_different_cost,29,28,verde,40
49,verde_addition,with_different_cost,29,28,verde,42
